jp	en	romanji	tags												
れる	passive verb ending [れる for u-verbs	られる for ru-verbs]: to be <verbed> [e.g.	食べられる	" ""to be eaten""]"	reru	rareru									
そうだ – indicates that it seems the verb occurs [e.g.	" ""It seems he ate""]"	sōda													
た – informal past-tense	ta														
たい – indicates desire to perform verb	tai														
だろう – indicates that it seems the verb occurs; also used to ask whether the verb occurs	darō														
ない	ん – informal negative	nai	n) [ん is a slurred version and sounds a little masculine												
"ぬ – archaic informal negative [""he hath"""	" ""thou didst"""	etc.]	nu												
ます – formal non-past ending	masu														
Particles															
Case															
が – subject marker	but	ga													
で – at	by	de													
と – and	with	to													
に – indirect object marker	ni														
の – possession marker	of	no													
へ – to	e) [Note: へ is normally read he	but when used as this particle its reading changes to e													
まで – to	made														
から – from	kara														
より – than	yori														
を – direct object marker	o														
Conjunctive															
および	and; as well as	oyobi													
か – whether	ka														
かも – might be	possible that	kamo													
そして – and then	soshite														
それとも – or	soretomo														
だの – things like <list of things>	including	such things as	dano												
つつ – ongoing occurrence	tsutsu) [similar to ながら but has different tone	and both actions haveequal weight]													
て – te form of verb or adjective [see explanation]															
と – when	if	that	to												
ながら – while	though	both	nagara												
ならびに – as well as	narabini														
なり – whether or not	nari														
に – to <somewhere>	by <someone>	ni													
の – possession	no														
ので – so	node														
また	also	again	mata												
または	or alternatively	matawa													
も – also	too	mo													
や – and	ya														
Final															
ね – emphasis and question marker	" equivalent to ""right?"""	ne													
															
な – the copula particle used after quasi-adjectives	na														
かしら – I wonder	kashira														
さ – -ness	sa														
"っけ – particle indicating that the speaker is trying to recall some information [""What class is next -kke?""]"	-kke														
Adverbial															
こそ – emphasis	koso														
さえ – even	sae														
しか – only	shika														
すら – even	sura														
くらい	approximately	about	kurai												
だけ – only	as much as	dake													
だって – however	datte														
ったら – casual topic marker	ttara) [colloquial form of to ittara	if you refer to ~; as for ~													
って – said that	tte														
でも – also	or	demo													
どころ –	particle used to indicate that what precedes it is an extreme example and strongly negatesit)	dokoro													
など – for example	nado														
なら – if [for verbs]; subject marker [for nouns]	nara														
なんか – casual undervalue	dislike	lack	nanka												
なんて – casual undervalue	dislike	lack	nante												
は – topic marker	wa) [although ha is the hiragana used	wa is the pronunciation													
ばかり	just	full of	only	bakari											
まで – until	made														
も – too	also	mo													
															
															
															
とり	bird		animals;air												
ねこ	cat	猫	animals;land												
いぬ	dog	犬	animals;land												
しろ	white		colors												
さん	three		numbers												
おはよう	good morning		greetings												
あか	red		colors												
きたない	dirty		adjective												
あお	blue		colors												
はい	yes														
こんにちは	hello		greetings												
おやすみなさい	sorry		greetings												
